MODEL,MODEL_FAIL_RATE,MODEL_FAIL_CNT,MODEL_FAIL_TOTAL,GLOBAL_AVG_FAILURE
ST9250315AS,0.481887244,25064,1,0.481887244
ST4000DM000,0.693692066,29566433,2051,0.481887244
ST12000NM0007,0.688439423,20844245,1435,0.481887244
ST320LT007,0.481887244,5635,0,0.481887244
ST8000DM005,0.481887244,12935,3,0.481887244
ST3500320AS,0.481887244,139,1,0.481887244
TOSHIBA MQ01ABF050M,1.00623118,268328,27,0.481887244
WDC WD5002ABYS,0.481887244,723,1,0.481887244
WDC WD2500BEVT,0.481887244,97,0,0.481887244
ST8000NM0055,0.319849292,13162449,421,0.481887244
Hitachi HDS5C3030ALA630,0.199210557,702774,14,0.481887244
Seagate BarraCuda SSD ZA2000CM10002,0.481887244,1182,0,0.481887244
WDC WD60EFRX,0.610875326,343769,21,0.481887244
TOSHIBA MG07ACA14TA,0.322691837,681765,22,0.481887244
ST8000DM002,0.295681814,10720984,317,0.481887244
ST4000DM005,0.481887244,40866,5,0.481887244
DELLBOSS VD,0.481887244,12580,0,0.481887244
WDC WD1000FYPS,0.481887244,11,0,0.481887244
Hitachi HDS722020ALA330,0.481887244,7413,5,0.481887244
WDC WD3200LPVX,0.481887244,514,0,0.481887244
HGST HUS726040ALE610,0.481887244,24450,3,0.481887244
TOSHIBA HDWF180,0.481887244,13154,1,0.481887244
TOSHIBA DT01ACA300,0.481887244,9660,0,0.481887244
HGST HMS5C4040ALE640,0.111019013,5584629,62,0.481887244
ST4000DX002,0.481887244,1724,4,0.481887244
HGST HUH721010ALE600,0.481887244,7268,0,0.481887244
TOSHIBA MD04ABA500V,0.481887244,36810,0,0.481887244
Seagate SSD,0.481887244,15425,0,0.481887244
TOSHIBA MD04ABA400V,0.137562935,145388,2,0.481887244
WDC WD1600BPVT,0.481887244,471,0,0.481887244
ST10000NM0086,0.179028413,1005427,18,0.481887244
WDC WD2500AAJS,0.481887244,1665,0,0.481887244
TOSHIBA MQ01ABF050,3.165638889,473838,150,0.481887244
ST500LM021,0.481887244,8302,0,0.481887244
WDC WD5003ABYX,0.481887244,319,0,0.481887244
HGST HDS724040ALE640,0.481887244,10330,0,0.481887244
ST4000DM001,0.481887244,96115,44,0.481887244
WDC WD2500BPVT,0.481887244,2979,0,0.481887244
Seagate BarraCuda SSD ZA500CM10002,0.481887244,6881,1,0.481887244
ST6000DM004,0.481887244,1200,0,0.481887244
ST6000DM001,0.481887244,10945,0,0.481887244
ST3160316AS,0.481887244,10891,0,0.481887244
HGST HMS5C4040BLE640,0.144600358,15283503,221,0.481887244
WDC WD40EFRX,0.481887244,30098,1,0.481887244
Hitachi HDT725025VLA380,0.481887244,107,0,0.481887244
Hitachi HDS723030BLE640,0.481887244,1776,0,0.481887244
Samsung SSD 850 EVO 1TB,0.481887244,234,10,0.481887244
ST16000NM001G,0.481887244,1860,0,0.481887244
ST6000DX000,0.289405172,1693128,49,0.481887244
WDC WD5000LPVX,0.960863054,301812,29,0.481887244
ST31500541AS,0.481887244,17545,0,0.481887244
Seagate BarraCuda SSD ZA250CM10002,0.481887244,7259,0,0.481887244
ST250LM004 HN,0.481887244,12501,2,0.481887244
WDC WD5000BPKT,0.481887244,15804,2,0.481887244
TOSHIBA HDWE160,0.481887244,4162,0,0.481887244
WDC WD3200AAJS,0.481887244,1462,0,0.481887244
ST500LM030,0.481887244,85009,25,0.481887244
Hitachi HDS5C3030BLE630,0.481887244,112,0,0.481887244
ST4000DX000,0.481887244,54927,42,0.481887244
ST33000651AS,0.481887244,440,0,0.481887244
HGST HMS5C4040BLE641,0.481887244,428,0,0.481887244
WDC WD1600AAJS,0.481887244,33578,1,0.481887244
ST500LM012 HN,1.526000875,688073,105,0.481887244
WDC WD10EADX,0.481887244,59,0,0.481887244
WDC WD10EACS,0.481887244,243,1,0.481887244
Hitachi HDS723030ALA640,0.346188465,115544,4,0.481887244
ST12000NM0008,0.432523279,323682,14,0.481887244
HGST HUH728080ALE600,0.235536119,764214,18,0.481887244
ST1000LM024 HN,0.481887244,992,0,0.481887244
HGST HDS5C4040ALE630,0.481887244,68754,3,0.481887244
WDC WD3200AAKS,0.481887244,282,0,0.481887244
WDC WD20EFRX,0.481887244,810,0,0.481887244
Hitachi HDS5C4040ALE630,0.067040176,1044150,7,0.481887244
HGST HUH721212ALE600,0.1528678,327080,5,0.481887244
WDC WD30EFRX,0.373769675,240790,9,0.481887244
ST3160318AS,0.481887244,4027,1,0.481887244
WDC WD5000LPCX,0.481887244,59585,2,0.481887244
ST8000DM004,0.481887244,1970,4,0.481887244
Hitachi HDS724040ALE640,0.481887244,1542,0,0.481887244
WDC WD3200BEKX,0.481887244,3012,0,0.481887244
 00MD00,0.481887244,14,0,0.481887244
ST9320325AS,0.481887244,12357,0,0.481887244
WDC WD10EADS,0.481887244,1096,0,0.481887244
WDC WD10EARS,0.481887244,32,0,0.481887244
ST12000NM0117,0.481887244,716,3,0.481887244
HGST HUH721212ALN604,0.126646317,2921522,37,0.481887244
